year,normalized_cost,Bankruptcy Totals,Employment Totals,GDP,New Grads,HPI,PerCap Dispo Income,PerCap Personal Income,REVENUE,Bar Pass,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,office_location_Gulfport,office_location_Houston,office_location_Jackson,office_location_Mobile,office_location_New Orleans,office_location_Raleigh,office_location_Tampa,office_location_Tupelo
2014,0.003694567243361647,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,0.006197582863385976,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,0.008961281302124119,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014,0.0128744322483387,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,0.01696248514354093,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2014,0.02017843789185092,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,0.02329678495504063,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,0.02599782275902838,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,0.02910110118433485,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014,0.0330059675206229,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2014,0.03595515058884967,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2014,0.040048431166303,11106.0,1556753.0,104300.3,42255.0,168.34,32125.0,34896.0,0.007576346,882.0208333333334,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,0.01598090811088492,36503.0,16000512.0,1579299.5,334010.0,208.24,42644.0,47370.0,0.002411572,882.0208333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,0.02251912606923544,36503.0,16000512.0,1579299.5,334010.0,208.24,42644.0,47370.0,0.002411572,882.0208333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,0.03015822439822931,36503.0,16000512.0,1579299.5,334010.0,208.24,42644.0,47370.0,0.002411572,882.0208333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2014,0.04072829053761771,36503.0,16000512.0,1579299.5,334010.0,208.24,42644.0,47370.0,0.002411572,882.0208333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,0.0507640786153058,36503.0,16000512.0,1579299.5,334010.0,208.24,42644.0,47370.0,0.002411572,882.0208333333334,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2014,0.05888493631668358,36503.0,16000512.0,1579299.5,334010.0,208.24,42644.0,47370.0,0.002411572,882.0208333333334,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,0.06724927158888792,36503.0,16000512.0,1579299.5,334010.0,208.24,42644.0,47370.0,0.002411572,882.0208333333334,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
